codigo	grupo	subgrupo	nivel	subnivel
A0111	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos no perennes	Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas
A0112	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos no perennes	Cultivo de arroz
A0113	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos no perennes	Cultivo de hortalizas, raíces y tubérculos
A0114	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos no perennes	Cultivo de caña de azúcar
A0115	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos no perennes	Cultivo de tabaco
A0116	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos no perennes	Cultivo de plantas para fibras textiles
A0119	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos no perennes	Otros cultivos no perennes
A0121	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos perennes	Cultivo de la vid
A0122	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos perennes	Cultivo de frutos tropicales y subtropicales
A0123	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos perennes	Cultivo de cítricos
A0124	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos perennes	Cultivo de frutos con hueso y pepitas
A0125	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos perennes	Cultivo de otros árboles y arbustos frutales y frutos secos
A0126	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos perennes	Cultivo de frutos oleaginosos
A0127	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos perennes	Cultivo de plantas para bebidas
A0128	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos perennes	Cultivo de especias, plantas aromáticas, medicinales y farmacéuticas
A0129	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos perennes	Otros cultivos perennes
A0130	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Propagación de plantas	Propagación de plantas
A0141	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Producción ganadera	Explotación de ganado bovino para la producción de leche
A0142	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Producción ganadera	Explotación de otro ganado bovino y búfalos
A0143	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Producción ganadera	Explotación de caballos y otros equinos
A0144	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Producción ganadera	Explotación de camellos y otros camélidos
A0145	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Producción ganadera	Explotación de ganado ovino y caprino
A0146	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Producción ganadera	Explotación de ganado porcino
A0147	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Producción ganadera	Avicultura
A0149	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Producción ganadera	Otras explotaciones de ganado
A0150	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Producción agrícola combinada con la producción ganadera	Producción agrícola combinada con la producción ganadera
A0161	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha	Actividades de apoyo a la agricultura
A0162	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha	Actividades de apoyo a la ganadería
A0163	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha	Actividades de preparación posterior a la cosecha
A0164	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha	Tratamiento de semillas para reproducción
A0170	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Caza, captura de animales y servicios relacionados con las mismas	Caza, captura de animales y servicios relacionados con las mismas
A0210	Agricultura, ganadería, silvicultura y pesca	Silvicultura y explotación forestal	Silvicultura y otras actividades forestales	Silvicultura y otras actividades forestales
A0220	Agricultura, ganadería, silvicultura y pesca	Silvicultura y explotación forestal	Explotación de la madera	Explotación de la madera
A0230	Agricultura, ganadería, silvicultura y pesca	Silvicultura y explotación forestal	Recolección de productos silvestres, excepto madera	Recolección de productos silvestres, excepto madera
A0240	Agricultura, ganadería, silvicultura y pesca	Silvicultura y explotación forestal	Servicios de apoyo a la silvicultura	Servicios de apoyo a la silvicultura
A0311	Agricultura, ganadería, silvicultura y pesca	Pesca y acuicultura	Pesca	Pesca marina
A0312	Agricultura, ganadería, silvicultura y pesca	Pesca y acuicultura	Pesca	Pesca en agua dulce
A0321	Agricultura, ganadería, silvicultura y pesca	Pesca y acuicultura	Acuicultura	Acuicultura marina
A0322	Agricultura, ganadería, silvicultura y pesca	Pesca y acuicultura	Acuicultura	Acuicultura en agua dulce
B0510	Industrias extractivas	Extracción de antracita, hulla y lignito	Extracción de antracita y hulla	Extracción de antracita y hulla
B0520	Industrias extractivas	Extracción de antracita, hulla y lignito	Extracción de lignito	Extracción de lignito
B0610	Industrias extractivas	Extracción de crudo de petróleo y gas natural	Extracción de crudo de petróleo	Extracción de crudo de petróleo
B0620	Industrias extractivas	Extracción de crudo de petróleo y gas natural	Extracción de gas natural	Extracción de gas natural
B0710	Industrias extractivas	Extracción de minerales metálicos	Extracción de minerales de hierro	Extracción de minerales de hierro
B0721	Industrias extractivas	Extracción de minerales metálicos	Extracción de minerales metálicos no férreos	Extracción de minerales de uranio y torio
B0729	Industrias extractivas	Extracción de minerales metálicos	Extracción de minerales metálicos no férreos	Extracción de otros minerales metálicos no férreos
B0811	Industrias extractivas	Otras industrias extractivas	Extracción de piedra, arena y arcilla	Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra
B0812	Industrias extractivas	Otras industrias extractivas	Extracción de piedra, arena y arcilla	Extracción de gravas y arenas; extracción de arcilla y caolín
B0891	Industrias extractivas	Otras industrias extractivas	Industrias extractivas n.c.o.p.	Extracción de minerales para productos químicos y fertilizantes
B0892	Industrias extractivas	Otras industrias extractivas	Industrias extractivas n.c.o.p.	Extracción de turba
B0893	Industrias extractivas	Otras industrias extractivas	Industrias extractivas n.c.o.p.	Extracción de sal
B0899	Industrias extractivas	Otras industrias extractivas	Industrias extractivas n.c.o.p.	Otras industrias extractivas n.c.o.p.
B0910	Industrias extractivas	Actividades de apoyo a las industrias extractivas	Actividades de apoyo a la extracción de petróleo y gas natural	Actividades de apoyo a la extracción de petróleo y gas natural
B0990	Industrias extractivas	Actividades de apoyo a las industrias extractivas	Actividades de apoyo a otras industrias extractivas	Actividades de apoyo a otras industrias extractivas
C1011	Industria manufacturera	Industria de la alimentación	Procesado y conservación de carne y elaboración de productos cárnicos	Procesado y conservación de carne
C1012	Industria manufacturera	Industria de la alimentación	Procesado y conservación de carne y elaboración de productos cárnicos	Procesado y conservación de volatería
C1013	Industria manufacturera	Industria de la alimentación	Procesado y conservación de carne y elaboración de productos cárnicos	Elaboración de productos cárnicos y de volatería
C1021	Industria manufacturera	Industria de la alimentación	Procesado y conservación de pescados, crustáceos y moluscos	Procesado de pescados, crustáceos y moluscos
C1022	Industria manufacturera	Industria de la alimentación	Procesado y conservación de pescados, crustáceos y moluscos	Fabricación de conservas de pescado
C1031	Industria manufacturera	Industria de la alimentación	Procesado y conservación de frutas y hortalizas	Procesado y conservación de patatas
C1032	Industria manufacturera	Industria de la alimentación	Procesado y conservación de frutas y hortalizas	Elaboración de zumos de frutas y hortalizas
C1039	Industria manufacturera	Industria de la alimentación	Procesado y conservación de frutas y hortalizas	Otro procesado y conservación de frutas y hortalizas
C1042	Industria manufacturera	Industria de la alimentación	Fabricación de aceites y grasas vegetales y animales	Fabricación de margarina y grasas comestibles similares
C1043	Industria manufacturera	Industria de la alimentación	Fabricación de aceites y grasas vegetales y animales	Fabricación de aceite de oliva
C1044	Industria manufacturera	Industria de la alimentación	Fabricación de aceites y grasas vegetales y animales	Fabricación de otros aceites y grasas
C1052	Industria manufacturera	Industria de la alimentación	Fabricación de productos lácteos	Elaboración de helados
C1053	Industria manufacturera	Industria de la alimentación	Fabricación de productos lácteos	Fabricación de quesos
C1054	Industria manufacturera	Industria de la alimentación	Fabricación de productos lácteos	Preparación de leche y otros productos lácteos
C1061	Industria manufacturera	Industria de la alimentación	Fabricación de productos de molinería, almidones y productos amiláceos	Fabricación de productos de molinería
C1062	Industria manufacturera	Industria de la alimentación	Fabricación de productos de molinería, almidones y productos amiláceos	Fabricación de almidones y productos amiláceos
C1071	Industria manufacturera	Industria de la alimentación	Fabricación de productos de panadería y pastas alimenticias	Fabricación de pan y de productos frescos de panadería y pastelería
C1072	Industria manufacturera	Industria de la alimentación	Fabricación de productos de panadería y pastas alimenticias	Fabricación de galletas y productos de panadería y pastelería de larga duración
C1073	Industria manufacturera	Industria de la alimentación	Fabricación de productos de panadería y pastas alimenticias	Fabricación de pastas alimenticias, cuscús y productos similares
C1081	Industria manufacturera	Industria de la alimentación	Fabricación de otros productos alimenticios	Fabricación de azúcar
C1082	Industria manufacturera	Industria de la alimentación	Fabricación de otros productos alimenticios	Fabricación de cacao, chocolate y productos de confitería
C1083	Industria manufacturera	Industria de la alimentación	Fabricación de otros productos alimenticios	Elaboración de café, té e infusiones
C1084	Industria manufacturera	Industria de la alimentación	Fabricación de otros productos alimenticios	Elaboración de especias, salsas y condimentos
C1085	Industria manufacturera	Industria de la alimentación	Fabricación de otros productos alimenticios	Elaboración de platos y comidas preparados
C1086	Industria manufacturera	Industria de la alimentación	Fabricación de otros productos alimenticios	Elaboración de preparados alimenticios homogeneizados y alimentos dietéticos
C1089	Industria manufacturera	Industria de la alimentación	Fabricación de otros productos alimenticios	Elaboración de otros productos alimenticios n.c.o.p.
C1091	Industria manufacturera	Industria de la alimentación	Fabricación de productos para la alimentación animal	Fabricación de productos para la alimentación de animales de granja
C1092	Industria manufacturera	Industria de la alimentación	Fabricación de productos para la alimentación animal	Fabricación de productos para la alimentación de animales de compañía
C1101	Industria manufacturera	Fabricación de bebidas	Fabricación de bebidas	Destilación, rectificación y mezcla de bebidas alcohólicas
C1102	Industria manufacturera	Fabricación de bebidas	Fabricación de bebidas	Elaboración de vinos
C1103	Industria manufacturera	Fabricación de bebidas	Fabricación de bebidas	Elaboración de sidra y otras bebidas fermentadas a partir de frutas
C1104	Industria manufacturera	Fabricación de bebidas	Fabricación de bebidas	Elaboración de otras bebidas no destiladas, procedentes de la fermentación
C1105	Industria manufacturera	Fabricación de bebidas	Fabricación de bebidas	Fabricación de cerveza
C1106	Industria manufacturera	Fabricación de bebidas	Fabricación de bebidas	Fabricación de malta
C1107	Industria manufacturera	Fabricación de bebidas	Fabricación de bebidas	Fabricación de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas
C1200	Industria manufacturera	Industria del tabaco	Industria del tabaco	Industria del tabaco
C1310	Industria manufacturera	Industria textil	Preparación e hilado de fibras textiles	Preparación e hilado de fibras textiles
C1320	Industria manufacturera	Industria textil	Fabricación de tejidos textiles	Fabricación de tejidos textiles
C1330	Industria manufacturera	Industria textil	Acabado de textiles	Acabado de textiles
C1391	Industria manufacturera	Industria textil	Fabricación de otros productos textiles	Fabricación de tejidos de punto
C1392	Industria manufacturera	Industria textil	Fabricación de otros productos textiles	Fabricación de artículos confeccionados con textiles, excepto prendas de vestir
C1393	Industria manufacturera	Industria textil	Fabricación de otros productos textiles	Fabricación de alfombras y moquetas
C1394	Industria manufacturera	Industria textil	Fabricación de otros productos textiles	Fabricación de cuerdas, cordeles, bramantes y redes
C1395	Industria manufacturera	Industria textil	Fabricación de otros productos textiles	Fabricación de telas no tejidas y artículos confeccionados con ellas, excepto prendas de vestir
C1396	Industria manufacturera	Industria textil	Fabricación de otros productos textiles	Fabricación de otros productos textiles de uso técnico e industrial
C1399	Industria manufacturera	Industria textil	Fabricación de otros productos textiles	Fabricación de otros productos textiles n.c.o.p.
C1411	Industria manufacturera	Confección de prendas de vestir	Confección de prendas de vestir, excepto de peletería	Confección de prendas de vestir de cuero
C1412	Industria manufacturera	Confección de prendas de vestir	Confección de prendas de vestir, excepto de peletería	Confección de ropa de trabajo
C1413	Industria manufacturera	Confección de prendas de vestir	Confección de prendas de vestir, excepto de peletería	Confección de otras prendas de vestir exteriores
C1414	Industria manufacturera	Confección de prendas de vestir	Confección de prendas de vestir, excepto de peletería	Confección de ropa interior
C1419	Industria manufacturera	Confección de prendas de vestir	Confección de prendas de vestir, excepto de peletería	Confección de otras prendas de vestir y accesorios
C1420	Industria manufacturera	Confección de prendas de vestir	Fabricación de artículos de peletería	Fabricación de artículos de peletería
C1431	Industria manufacturera	Confección de prendas de vestir	Confección de prendas de vestir de punto	Confección de calcetería
C1439	Industria manufacturera	Confección de prendas de vestir	Confección de prendas de vestir de punto	Confección de otras prendas de vestir de punto
C1511	Industria manufacturera	Industria del cuero y del calzado	Preparación, curtido y acabado del cuero; fabricación de artículos de marroquinería, viaje y de guarnicionería y talabartería; preparación y teñido de pieles	Preparación, curtido y acabado del cuero; preparación y teñido de pieles
C1512	Industria manufacturera	Industria del cuero y del calzado	Preparación, curtido y acabado del cuero; fabricación de artículos de marroquinería, viaje y de guarnicionería y talabartería; preparación y teñido de pieles	Fabricación de artículos de marroquinería, viaje y de guarnicionería y talabartería
C1520	Industria manufacturera	Industria del cuero y del calzado	Fabricación de calzado	Fabricación de calzado
C1610	Industria manufacturera	Industria de la madera y del corcho, excepto muebles; cestería y espartería	Aserrado y cepillado de la madera	Aserrado y cepillado de la madera
C1621	Industria manufacturera	Industria de la madera y del corcho, excepto muebles; cestería y espartería	Fabricación de productos de madera, corcho, cestería y espartería	Fabricación de chapas y tableros de madera
C1622	Industria manufacturera	Industria de la madera y del corcho, excepto muebles; cestería y espartería	Fabricación de productos de madera, corcho, cestería y espartería	Fabricación de suelos de madera ensamblados
C1623	Industria manufacturera	Industria de la madera y del corcho, excepto muebles; cestería y espartería	Fabricación de productos de madera, corcho, cestería y espartería	Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción
C1624	Industria manufacturera	Industria de la madera y del corcho, excepto muebles; cestería y espartería	Fabricación de productos de madera, corcho, cestería y espartería	Fabricación de envases y embalajes de madera
C1629	Industria manufacturera	Industria de la madera y del corcho, excepto muebles; cestería y espartería	Fabricación de productos de madera, corcho, cestería y espartería	Fabricación de otros productos de madera; artículos de corcho, cestería y espartería
C1711	Industria manufacturera	Industria del papel	Fabricación de pasta papelera, papel y cartón	Fabricación de pasta papelera
C1712	Industria manufacturera	Industria del papel	Fabricación de pasta papelera, papel y cartón	Fabricación de papel y cartón
C1721	Industria manufacturera	Industria del papel	Fabricación de artículos de papel y de cartón	Fabricación de papel y cartón ondulados; fabricación de envases y embalajes de papel y cartón
C1722	Industria manufacturera	Industria del papel	Fabricación de artículos de papel y de cartón	Fabricación de artículos de papel y cartón para uso doméstico, sanitario e higiénico
C1723	Industria manufacturera	Industria del papel	Fabricación de artículos de papel y de cartón	Fabricación de artículos de papelería
C1724	Industria manufacturera	Industria del papel	Fabricación de artículos de papel y de cartón	Fabricación de papeles pintados
C1729	Industria manufacturera	Industria del papel	Fabricación de artículos de papel y de cartón	Fabricación de otros artículos de papel y cartón
C1811	Industria manufacturera	Artes gráficas y reproducción de soportes grabados	Artes gráficas y servicios relacionados con las mismas	Artes gráficas y servicios relacionados con las mismas
C1812	Industria manufacturera	Artes gráficas y reproducción de soportes grabados	Artes gráficas y servicios relacionados con las mismas	Otras actividades de impresión y artes gráficas
C1813	Industria manufacturera	Artes gráficas y reproducción de soportes grabados	Artes gráficas y servicios relacionados con las mismas	Servicios de preimpresión y preparación de soportes
C1814	Industria manufacturera	Artes gráficas y reproducción de soportes grabados	Artes gráficas y servicios relacionados con las mismas	Encuadernación y servicios relacionados con la misma
C1820	Industria manufacturera	Artes gráficas y reproducción de soportes grabados	Reproducción de soportes grabados	Reproducción de soportes grabados
C1910	Industria manufacturera	Coquerías y refino de petróleo	Coquerías	Coquerías
C1920	Industria manufacturera	Coquerías y refino de petróleo	Refino de petróleo	Refino de petróleo
C2011	Industria manufacturera	Industria química	Fabricación de productos químicos básicos, compuestos nitrogenados, fertilizantes, plásticos y caucho sintético en formas primarias	Fabricación de gases industriales
C2012	Industria manufacturera	Industria química	Fabricación de productos químicos básicos, compuestos nitrogenados, fertilizantes, plásticos y caucho sintético en formas primarias	Fabricación de colorantes y pigmentos
C2013	Industria manufacturera	Industria química	Fabricación de productos químicos básicos, compuestos nitrogenados, fertilizantes, plásticos y caucho sintético en formas primarias	Fabricación de otros productos básicos de química inorgánica
C2014	Industria manufacturera	Industria química	Fabricación de productos químicos básicos, compuestos nitrogenados, fertilizantes, plásticos y caucho sintético en formas primarias	Fabricación de otros productos básicos de química orgánica
C2015	Industria manufacturera	Industria química	Fabricación de productos químicos básicos, compuestos nitrogenados, fertilizantes, plásticos y caucho sintético en formas primarias	Fabricación de fertilizantes y compuestos nitrogenados
C2016	Industria manufacturera	Industria química	Fabricación de productos químicos básicos, compuestos nitrogenados, fertilizantes, plásticos y caucho sintético en formas primarias	Fabricación de plásticos en formas primarias
C2017	Industria manufacturera	Industria química	Fabricación de productos químicos básicos, compuestos nitrogenados, fertilizantes, plásticos y caucho sintético en formas primarias	Fabricación de caucho sintético en formas primarias
C2020	Industria manufacturera	Industria química	Fabricación de pesticidas y otros productos agroquímicos	Fabricación de pesticidas y otros productos agroquímicos
C2030	Industria manufacturera	Industria química	Fabricación de pinturas, barnices y revestimientos similares; tintas de imprenta y masillas	Fabricación de pinturas, barnices y revestimientos similares; tintas de imprenta y masillas
C2041	Industria manufacturera	Industria química	Fabricación de jabones, detergentes y otros artículos de limpieza y abrillantamiento; fabricación de perfumes y cosméticos	Fabricación de jabones, detergentes y otros artículos de limpieza y abrillantamiento
C2042	Industria manufacturera	Industria química	Fabricación de jabones, detergentes y otros artículos de limpieza y abrillantamiento; fabricación de perfumes y cosméticos	Fabricación de perfumes y cosméticos
C2051	Industria manufacturera	Industria química	Fabricación de otros productos químicos	Fabricación de explosivos
C2052	Industria manufacturera	Industria química	Fabricación de otros productos químicos	Fabricación de colas
C2053	Industria manufacturera	Industria química	Fabricación de otros productos químicos	Fabricación de aceites esenciales
C2059	Industria manufacturera	Industria química	Fabricación de otros productos químicos	Fabricación de otros productos químicos n.c.o.p.
C2060	Industria manufacturera	Industria química	Fabricación de fibras artificiales y sintéticas	Fabricación de fibras artificiales y sintéticas
C2110	Industria manufacturera	Fabricación de productos farmacéuticos	Fabricación de productos farmacéuticos de base	Fabricación de productos farmacéuticos de base
C2120	Industria manufacturera	Fabricación de productos farmacéuticos	Fabricación de especialidades farmacéuticas	Fabricación de especialidades farmacéuticas
C2211	Industria manufacturera	Fabricación de productos de caucho y plásticos	Fabricación de productos de caucho	Fabricación de neumáticos y cámaras de caucho; reconstrucción y recauchutado de neumáticos
C2219	Industria manufacturera	Fabricación de productos de caucho y plásticos	Fabricación de productos de caucho	Fabricación de otros productos de caucho
C2221	Industria manufacturera	Fabricación de productos de caucho y plásticos	Fabricación de productos de plástico	Fabricación de placas, hojas, tubos y perfiles de plástico
C2222	Industria manufacturera	Fabricación de productos de caucho y plásticos	Fabricación de productos de plástico	Fabricación de envases y embalajes de plástico
C2223	Industria manufacturera	Fabricación de productos de caucho y plásticos	Fabricación de productos de plástico	Fabricación de productos de plástico para la construcción
C2229	Industria manufacturera	Fabricación de productos de caucho y plásticos	Fabricación de productos de plástico	Fabricación de otros productos de plástico
C2311	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Fabricación de vidrio y productos de vidrio	Fabricación de vidrio plano
C2312	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Fabricación de vidrio y productos de vidrio	Manipulado y transformación de vidrio plano
C2313	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Fabricación de vidrio y productos de vidrio	Fabricación de vidrio hueco
C2314	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Fabricación de vidrio y productos de vidrio	Fabricación de fibra de vidrio
C2319	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Fabricación de vidrio y productos de vidrio	Fabricación y manipulado de otro vidrio, incluido el vidrio técnico
C2320	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Fabricación de productos cerámicos refractarios	Fabricación de productos cerámicos refractarios
C2331	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Fabricación de productos cerámicos para la construcción	Fabricación de azulejos y baldosas de cerámica
C2332	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Fabricación de productos cerámicos para la construcción	Fabricación de ladrillos, tejas y productos de tierras cocidas para la construcción
C2341	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Fabricación de otros productos cerámicos	Fabricación de artículos cerámicos de uso doméstico y ornamental
C2342	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Fabricación de otros productos cerámicos	Fabricación de aparatos sanitarios cerámicos
C2343	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Fabricación de otros productos cerámicos	Fabricación de aisladores y piezas aislantes de material cerámico
C2344	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Fabricación de otros productos cerámicos	Fabricación de otros productos cerámicos de uso técnico
C2349	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Fabricación de otros productos cerámicos	Fabricación de otros productos cerámicos
C2351	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Fabricación de cemento, cal y yeso	Fabricación de cemento
C2352	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Fabricación de cemento, cal y yeso	Fabricación de cal y yeso
C2361	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Fabricación de elementos de hormigón, cemento y yeso	Fabricación de elementos de hormigón para la construcción
C2362	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Fabricación de elementos de hormigón, cemento y yeso	Fabricación de elementos de yeso para la construcción
C2363	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Fabricación de elementos de hormigón, cemento y yeso	Fabricación de hormigón fresco
C2364	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Fabricación de elementos de hormigón, cemento y yeso	Fabricación de mortero
C2365	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Fabricación de elementos de hormigón, cemento y yeso	Fabricación de fibrocemento
C2369	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Fabricación de elementos de hormigón, cemento y yeso	Fabricación de otros productos de hormigón, yeso y cemento
C2370	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Corte, tallado y acabado de la piedra	Corte, tallado y acabado de la piedra
C2391	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Fabricación de productos abrasivos y productos minerales no metálicos n.c.o.p.	Fabricación de productos abrasivos
C2399	Industria manufacturera	Fabricación de otros productos minerales no metálicos	Fabricación de productos abrasivos y productos minerales no metálicos n.c.o.p.	Fabricación de otros productos minerales no metálicos n.c.o.p.
C2410	Industria manufacturera	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Fabricación de productos básicos de hierro, acero y ferroaleaciones	Fabricación de productos básicos de hierro, acero y ferroaleaciones
C2420	Industria manufacturera	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Fabricación de tubos, tuberías, perfiles huecos y sus accesorios, de acero	Fabricación de tubos, tuberías, perfiles huecos y sus accesorios, de acero
C2431	Industria manufacturera	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Fabricación de otros productos de primera transformación del acero	Estirado en frío
C2432	Industria manufacturera	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Fabricación de otros productos de primera transformación del acero	Laminación en frío
C2433	Industria manufacturera	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Fabricación de otros productos de primera transformación del acero	Producción de perfiles en frío por conformación con plegado
C2434	Industria manufacturera	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Fabricación de otros productos de primera transformación del acero	Trefilado en frío
C2441	Industria manufacturera	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Producción de metales preciosos y de otros metales no férreos	Producción de metales preciosos
C2442	Industria manufacturera	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Producción de metales preciosos y de otros metales no férreos	Producción de aluminio
C2443	Industria manufacturera	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Producción de metales preciosos y de otros metales no férreos	Producción de plomo, zinc y estaño
C2444	Industria manufacturera	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Producción de metales preciosos y de otros metales no férreos	Producción de cobre
C2445	Industria manufacturera	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Producción de metales preciosos y de otros metales no férreos	Producción de otros metales no férreos
C2446	Industria manufacturera	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Producción de metales preciosos y de otros metales no férreos	Procesamiento de combustibles nucleares
C2451	Industria manufacturera	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Fundición de metales	Fundición de hierro
C2452	Industria manufacturera	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Fundición de metales	Fundición de acero
C2453	Industria manufacturera	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Fundición de metales	Fundición de metales ligeros
C2454	Industria manufacturera	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Fundición de metales	Fundición de otros metales no férreos
C2511	Industria manufacturera	Fabricación de productos metálicos, excepto maquinaria y equipo	Fabricación de elementos metálicos para la construcción	Fabricación de estructuras metálicas y sus componentes
C2512	Industria manufacturera	Fabricación de productos metálicos, excepto maquinaria y equipo	Fabricación de elementos metálicos para la construcción	Fabricación de carpintería metálica
C2521	Industria manufacturera	Fabricación de productos metálicos, excepto maquinaria y equipo	Fabricación de cisternas, grandes depósitos y contenedores de metal	Fabricación de radiadores y calderas para calefacción central
C2529	Industria manufacturera	Fabricación de productos metálicos, excepto maquinaria y equipo	Fabricación de cisternas, grandes depósitos y contenedores de metal	Fabricación de otras cisternas, grandes depósitos y contenedores de metal
C2530	Industria manufacturera	Fabricación de productos metálicos, excepto maquinaria y equipo	Fabricación de generadores de vapor, excepto calderas de calefacción central	Fabricación de generadores de vapor, excepto calderas de calefacción central
C2540	Industria manufacturera	Fabricación de productos metálicos, excepto maquinaria y equipo	Fabricación de armas y municiones	Fabricación de armas y municiones
C2550	Industria manufacturera	Fabricación de productos metálicos, excepto maquinaria y equipo	Forja, estampación y embutición de metales; metalurgia de polvos	Forja, estampación y embutición de metales; metalurgia de polvos
