codigo_bdns,MRR,administracion,departamento,organo,fecha_registro,titulo_convocatoria,url_bases_regul,importe_total,tipo_beneficiario,sector_beneficiario,region_impacto,finalidad
617488,NO,VANDELLÒS I L'HOSPITALET DE L'INFANT,AYUNTAMIENTO DE VANDELLÒS I L'HOSPITALET DE I'INFANT,,25/03/2022,"CONVENIO DE COLABORACIÓN ENTRE EL AYUNTAMIENTO DE VANDELLÒS I L'HOSPITALET DE L'INFANT Y EL CLUB CENTRE EXCURSIONISTA SERRES DEL MESTRAL, PARA AYUDAR A FINANCIAR LOS TRABAJOS DE MANTENIMIENTO DE LA SEÑALIZACIÓN Y DEL MARCAJE DE CAMINOS",https://www.boe.es/buscar/act.php?id=BOE-A-2003-20977,"3,000.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,OTROS SERVICIOS,ES514 - Tarragona,OTRAS PRESTACIONES ECONÓMICAS
617487,NO,REGIÓN DE MURCIA,INSTITUTO MURCIANO DE ACCION SOCIAL (I.M.A.S.),,25/03/2022,AYUNTAMIENTO TORRES DE COTILLAS MANTENIMIENTO CENTRO DE ATENCIÓN TEMPRANA,https://www.borm.es/services/anuncio/ano/2022/numero/310/pdf?id=799320,"81,675.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,ES62 - REGION DE MURCIA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
617486,NO,ONDA,AYUNTAMIENTO DE ONDA,,25/03/2022,Convenio de colaboración entre el Ayuntamiento de Onda y Club Ciclista Sepelaco,https://www.onda.es/ond/web_php/index.php?contenido=subapartados_woden&id_boto=355,"45,000.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,"ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRETENIMIENTO",ES522 - Castellón / Castelló,CULTURA
617485,NO,REGIÓN DE MURCIA,INSTITUTO MURCIANO DE ACCION SOCIAL (I.M.A.S.),,25/03/2022,AYUNTAMIENTO PUERTO LUMBRERAS MANTENIMIENTO CENTRO CENTRO ATENCIÓN TEMPRANA,https://www.borm.es/services/anuncio/ano/2022/numero/310/pdf?id=799320,"93,159.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,ES62 - REGION DE MURCIA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
617484,NO,PEÑAMELLERA BAJA,AYUNTAMIENTO DE PEÑAMELLERA BAJA,,25/03/2022,CONVENIO RALLYSPRINT CARES DEVA,https://sedeelectronica.aytopbpanes.es/,"4,000.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,Actividades deportivas,ES120 - Asturias,CULTURA
617483,NO,ARAGÓN,INSTITUTO ARAGONÉS DE LA MUJER (IAM),,25/03/2022,"CONVENIO DE COLABORACIÓN ENTRE EL INSTITUTO ARAGONÉS DE LA MUJER Y LA COMARCA ARANDA PARA LA PRESTACIÓN DEL SERVICIO DE ATENCIÓN PSICOLÓGICA, SOCIAL Y EDUCATIVA FAMILIAR",http://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=847747263333&type=pdf,"18,858.70 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,Administración Pública y de la política económica y social,ES24 - ARAGON,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
617482,NO,REGIÓN DE MURCIA,INSTITUTO MURCIANO DE ACCION SOCIAL (I.M.A.S.),,25/03/2022,AYUNTAMIENTO MOLINA DEL SEGURA MANTENIMIENTO CENTRO ATENCIÓN TEMPRANA,https://www.borm.es/services/anuncio/ano/2022/numero/310/pdf?id=799320,"93,387.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,ES62 - REGION DE MURCIA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
617480,NO,ONDA,AYUNTAMIENTO DE ONDA,,25/03/2022,Convenio de colaboración entre el Ayuntamiento de Onda y el Club Baloncesto Onda,https://www.onda.es/ond/web_php/index.php?contenido=subapartados_woden&id_boto=355,"21,100.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,"ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRETENIMIENTO",ES522 - Castellón / Castelló,CULTURA
617479,NO,PEÑAMELLERA BAJA,AYUNTAMIENTO DE PEÑAMELLERA BAJA,,25/03/2022,AYUDA ECONOMICA III PANES CUP,https://sedeelectronica.aytopbpanes.es/,450.00 €,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,"Actividades deportivas, recreativas y de entretenimiento",ES120 - Asturias,CULTURA
617477,NO,REGIÓN DE MURCIA,INSTITUTO MURCIANO DE ACCION SOCIAL (I.M.A.S.),,25/03/2022,AYUNTAMIENTO DE MAZARRON MANTENIMIENTO CENTRO ATENCIÓN TEMPRANA Y CENTRO OCUPACIONAL,https://www.borm.es/services/anuncio/ano/2022/numero/310/pdf?id=799320,"128,888.00 €",PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,ES62 - REGION DE MURCIA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
